"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2020","202","",
"01","Alabama","01003","Baldwin","2020","211","",
"01","Alabama","01005","Barbour","2020","211","",
"01","Alabama","01007","Bibb","2020","207","",
"01","Alabama","01009","Blount","2020","198","",
"01","Alabama","01011","Bullock","2020","210","",
"01","Alabama","01013","Butler","2020","212","",
"01","Alabama","01015","Calhoun","2020","193","",
"01","Alabama","01017","Chambers","2020","197","",
"01","Alabama","01019","Cherokee","2020","184","",
"01","Alabama","01021","Chilton","2020","201","",
"01","Alabama","01023","Choctaw","2020","200","",
"01","Alabama","01025","Clarke","2020","206","",
"01","Alabama","01027","Clay","2020","202","",
"01","Alabama","01029","Cleburne","2020","187","",
"01","Alabama","01031","Coffee","2020","218","",
"01","Alabama","01033","Colbert","2020","191","",
"01","Alabama","01035","Conecuh","2020","217","",
"01","Alabama","01037","Coosa","2020","205","",
"01","Alabama","01039","Covington","2020","209","",
"01","Alabama","01041","Crenshaw","2020","211","",
"01","Alabama","01043","Cullman","2020","193","",
"01","Alabama","01045","Dale","2020","218","",
"01","Alabama","01047","Dallas","2020","213","",
"01","Alabama","01049","DeKalb","2020","184","",
"01","Alabama","01051","Elmore","2020","206","",
"01","Alabama","01053","Escambia","2020","215","",
"01","Alabama","01055","Etowah","2020","199","",
"01","Alabama","01057","Fayette","2020","198","",
"01","Alabama","01059","Franklin","2020","193","",
"01","Alabama","01061","Geneva","2020","218","",
"01","Alabama","01063","Greene","2020","210","",
"01","Alabama","01065","Hale","2020","215","",
"01","Alabama","01067","Henry","2020","208","",
"01","Alabama","01069","Houston","2020","212","",
"01","Alabama","01071","Jackson","2020","183","",
"01","Alabama","01073","Jefferson","2020","196","",
"01","Alabama","01075","Lamar","2020","195","",
"01","Alabama","01077","Lauderdale","2020","184","",
"01","Alabama","01079","Lawrence","2020","181","",
"01","Alabama","01081","Lee","2020","200","",
"01","Alabama","01083","Limestone","2020","189","",
"01","Alabama","01085","Lowndes","2020","207","",
"01","Alabama","01087","Macon","2020","207","",
"01","Alabama","01089","Madison","2020","188","",
"01","Alabama","01091","Marengo","2020","215","",
"01","Alabama","01093","Marion","2020","195","",
"01","Alabama","01095","Marshall","2020","193","",
"01","Alabama","01097","Mobile","2020","215","",
"01","Alabama","01099","Monroe","2020","220","",
"01","Alabama","01101","Montgomery","2020","210","",
"01","Alabama","01103","Morgan","2020","190","",
"01","Alabama","01105","Perry","2020","211","",
"01","Alabama","01107","Pickens","2020","198","",
"01","Alabama","01109","Pike","2020","215","",
"01","Alabama","01111","Randolph","2020","192","",
"01","Alabama","01113","Russell","2020","199","",
"01","Alabama","01117","Shelby","2020","201","",
"01","Alabama","01115","St. Clair","2020","197","",
"01","Alabama","01119","Sumter","2020","199","",
"01","Alabama","01121","Talladega","2020","201","",
"01","Alabama","01123","Tallapoosa","2020","206","",
"01","Alabama","01125","Tuscaloosa","2020","202","",
"01","Alabama","01127","Walker","2020","197","",
"01","Alabama","01129","Washington","2020","203","",
"01","Alabama","01131","Wilcox","2020","220","",
